isolate_id,isolate_name,location,lat,lon
EPI_ISL_399571,A/Larus argentatus/Belgium/U1610336_H907447/2016,Europe / Belgium,50.503887,4.469936
EPI_ISL_328987,A/European herring gull/Netherlands/3/2015,Europe / Netherlands,52.132633,5.291266
EPI_ISL_326959,A/kelp gull/Chile/C10779/2016,South America / Chile,-35.675147,-71.542969
EPI_ISL_328974,A/lesser black-backed gull/Netherlands/1/2015,Europe / Netherlands,52.132633,5.291266
EPI_ISL_9589576,A/Glaucous-Winged Gull/Alaska/20MB02820/2020,North America / United States,65.70971025,-150.514311
EPI_ISL_9589574,A/Glaucous-Winged Gull/Alaska/20MB02534/2020,North America / United States,65.70971025,-150.514311
EPI_ISL_9589507,A/Glaucous-Winged Gull/Alaska/20MB02836/2020,North America / United States,65.70971025,-150.514311
EPI_ISL_9589464,A/Glaucous-Winged Gull/Alaska/20MB02498/2020,North America / United States,65.70971025,-150.514311
EPI_ISL_9589438,A/Glaucous-Winged Gull/Alaska/20MB02698/2020,North America / United States,65.70971025,-150.514311
EPI_ISL_9589378,A/Glaucous-Winged Gull/Alaska/20MB02831/2020,North America / United States,65.70971025,-150.514311
EPI_ISL_9589331,A/Glaucous-Winged Gull/Alaska/20MB02182/2020,North America / United States,65.70971025,-150.514311
EPI_ISL_277416,A/glaucous-winged gull/Southcentral Alaska/16MB03160/2016,North America / United States,61.94737052,-150.5919309
EPI_ISL_277415,A/glaucous-winged gull/Southcentral Alaska/16MB03089/2016,North America / United States,61.94737052,-150.5919309
