Var1,Var2,mean_aa_dist
NP_10,NP_13,11.7569230769231
NP_10,NP_14,13.2145454545455
NP_10,NP_15,11.2488888888889
NP_10,NP_16,7.43
NP_10,NP_18,11.9657142857143
NP_10,NP_19,12.18
NP_10,NP_20,11.93
NP_10,NP_21,11.14
NP_10,NP_22,11.68
NP_10,NP_23,17.68
NP_10,NP_24,11.68
NP_10,NP_25,13.68
NP_10,NP_26,12.18
NP_10,NP_27,22
NP_10,NP_28,20.08
NP_10,NP_29,21.68
NP_11,NP_12,10.8928571428571
NP_11,NP_13,9.52197802197802
NP_11,NP_14,11.0194805194805
NP_11,NP_15,9.0952380952381
NP_11,NP_16,3.75
NP_11,NP_18,9.71428571428571
NP_11,NP_19,9.92857142857143
NP_11,NP_20,9.67857142857143
NP_11,NP_21,8.92857142857143
NP_11,NP_22,9.42857142857143
NP_11,NP_23,15.4285714285714
NP_11,NP_24,9.42857142857143
NP_11,NP_25,11.4285714285714
NP_11,NP_26,9.92857142857143
NP_11,NP_27,20
NP_11,NP_28,17.3571428571429
NP_11,NP_29,19.4285714285714
NP_12,NP_13,4.72527472527473
NP_12,NP_14,3.51948051948052
NP_12,NP_15,3.22222222222222
NP_12,NP_16,10.9017857142857
NP_12,NP_18,3.85714285714286
NP_12,NP_19,2.07142857142857
NP_12,NP_20,1.82142857142857
NP_12,NP_21,3.07142857142857
NP_12,NP_22,1.57142857142857
NP_12,NP_23,7.57142857142857
NP_12,NP_24,1.57142857142857
NP_12,NP_25,4.57142857142857
NP_12,NP_26,2.07142857142857
NP_12,NP_27,16.2857142857143
NP_12,NP_28,18.2142857142857
NP_12,NP_29,11.2857142857143
NP_13,NP_14,5.27972027972028
NP_13,NP_15,2.82051282051282
NP_13,NP_16,9.45192307692308
NP_13,NP_18,5.43956043956044
NP_13,NP_19,3.65384615384615
NP_13,NP_20,3.40384615384615
NP_13,NP_21,2.65384615384615
NP_13,NP_22,3.15384615384615
NP_13,NP_23,9.15384615384615
NP_13,NP_24,3.15384615384615
NP_13,NP_25,5.15384615384615
NP_13,NP_26,3.65384615384615
NP_13,NP_27,16.5384615384615
NP_13,NP_28,19.1538461538462
NP_13,NP_29,13.1538461538462
NP_14,NP_15,3.8989898989899
NP_14,NP_16,10.8068181818182
NP_14,NP_18,4.53246753246753
NP_14,NP_19,2.77272727272727
NP_14,NP_20,2.52272727272727
NP_14,NP_21,3.68181818181818
NP_14,NP_22,2.27272727272727
NP_14,NP_23,8.09090909090909
NP_14,NP_24,2.27272727272727
NP_14,NP_25,5.27272727272727
NP_14,NP_26,2.77272727272727
NP_14,NP_27,16.7272727272727
NP_14,NP_28,18.4545454545455
NP_14,NP_29,12.2727272727273
NP_15,NP_16,9.04166666666667
NP_15,NP_18,3.92063492063492
NP_15,NP_19,2.16666666666667
NP_15,NP_20,1.91666666666667
NP_15,NP_21,0.944444444444444
NP_15,NP_22,1.66666666666667
NP_15,NP_23,7.66666666666667
NP_15,NP_24,1.66666666666667
NP_15,NP_25,3.66666666666667
NP_15,NP_26,2.16666666666667
NP_15,NP_27,16.6666666666667
NP_15,NP_28,18.6666666666667
NP_15,NP_29,11.6666666666667
NP_16,NP_18,9.66071428571429
NP_16,NP_19,9.875
NP_16,NP_20,9.625
NP_16,NP_21,8.875
NP_16,NP_22,9.375
NP_16,NP_23,15.375
NP_16,NP_24,9.375
NP_16,NP_25,11.375
NP_16,NP_26,9.875
NP_16,NP_27,20.625
NP_16,NP_28,19.375
NP_16,NP_29,19.375
NP_18,NP_19,2.78571428571429
NP_18,NP_20,2.53571428571429
NP_18,NP_21,3.78571428571429
NP_18,NP_22,2.28571428571429
NP_18,NP_23,8.28571428571429
NP_18,NP_24,2.28571428571429
NP_18,NP_25,5.28571428571429
NP_18,NP_26,2.78571428571429
NP_18,NP_27,17.2857142857143
NP_18,NP_28,17.2857142857143
NP_18,NP_29,12.2857142857143
NP_19,NP_20,0.75
NP_19,NP_21,2
NP_19,NP_22,0.5
NP_19,NP_23,6
NP_19,NP_24,0.5
NP_19,NP_25,3.5
NP_19,NP_26,1
NP_19,NP_27,15.5
NP_19,NP_28,17.5
NP_19,NP_29,10.5
NP_20,NP_21,1.75
NP_20,NP_22,0.25
NP_20,NP_23,6.25
NP_20,NP_24,0.25
NP_20,NP_25,3.25
NP_20,NP_26,0.75
NP_20,NP_27,15.25
NP_20,NP_28,17.25
NP_20,NP_29,10.25
NP_21,NP_22,1.5
NP_21,NP_23,7.5
NP_21,NP_24,1.5
NP_21,NP_25,3.5
NP_21,NP_26,2
NP_21,NP_27,16.5
NP_21,NP_28,18.5
NP_21,NP_29,11.5
NP_22,NP_23,6
NP_22,NP_24,0
NP_22,NP_25,3
NP_22,NP_26,0.5
NP_22,NP_27,15
NP_22,NP_28,17
NP_22,NP_29,10
NP_23,NP_24,6
NP_23,NP_25,9
NP_23,NP_26,6.5
NP_23,NP_27,21
NP_23,NP_28,23
NP_23,NP_29,16
NP_24,NP_25,3
NP_24,NP_26,0.5
NP_24,NP_27,15
NP_24,NP_28,17
NP_24,NP_29,10
NP_25,NP_26,3.5
NP_25,NP_27,18
NP_25,NP_28,20
NP_25,NP_29,13
NP_26,NP_27,15.5
NP_26,NP_28,17.5
NP_26,NP_29,10.5
NP_27,NP_28,26
NP_27,NP_29,23
NP_28,NP_29,27
