Var1,Var2,mean_aa_dist
NS1_10,NS1_12,18.7692307692308
NS1_10,NS1_13,19.6153846153846
NS1_10,NS1_14,31.6153846153846
NS1_10,NS1_15,58
NS1_10,NS1_16,59
NS1_10,NS1_17,25.6153846153846
NS1_10,NS1_18,53.6153846153846
NS1_10,NS1_19,17.6153846153846
NS1_11,NS1_12,61.5555555555556
NS1_11,NS1_13,66.2222222222222
NS1_11,NS1_14,69.4444444444444
NS1_11,NS1_15,10.4444444444444
NS1_11,NS1_16,2.44444444444444
NS1_11,NS1_17,64.2222222222222
NS1_11,NS1_18,14.4444444444444
NS1_11,NS1_19,54.1111111111111
NS1_12,NS1_13,17.2222222222222
NS1_12,NS1_14,31
NS1_12,NS1_15,56.6666666666667
NS1_12,NS1_16,59.3333333333333
NS1_12,NS1_17,21.2222222222222
NS1_12,NS1_18,55.6666666666667
NS1_12,NS1_19,15.8888888888889
NS1_13,NS1_14,29
NS1_13,NS1_15,60
NS1_13,NS1_16,64
NS1_13,NS1_17,26
NS1_13,NS1_18,55
NS1_13,NS1_19,16
NS1_14,NS1_15,61
NS1_14,NS1_16,67
NS1_14,NS1_17,34
NS1_14,NS1_18,60
NS1_14,NS1_19,23
NS1_15,NS1_16,8
NS1_15,NS1_17,61
NS1_15,NS1_18,6
NS1_15,NS1_19,51
NS1_16,NS1_17,62
NS1_16,NS1_18,12
NS1_16,NS1_19,52
NS1_17,NS1_18,56
NS1_17,NS1_19,7
NS1_18,NS1_19,46
