Var1,Var2,mean_aa_dist
PB2_2,PB2_29,5.69605878423511
PB2_2,PB2_30,4.80654642618575
PB2_2,PB2_31,8.6013360053441
PB2_2,PB2_32,9.90501002004007
PB2_2,PB2_33,4.00160320641283
PB2_2,PB2_34,9.90400801603208
PB2_2,PB2_35,5.949498997996
PB2_2,PB2_36,9.65611222444891
PB2_2,PB2_37,7.41823647294592
PB2_2,PB2_38,6.4482965931864
PB2_2,PB2_39,7.76613226452905
PB2_2,PB2_40,9.8316633266533
PB2_2,PB2_41,3.96673346693386
PB2_2,PB2_42,6.99879759519039
PB2_2,PB2_43,7.88416833667336
PB2_2,PB2_44,20.703006012024
PB2_2,PB2_45,42.3819639278557
PB2_2,PB2_46,12.8072144288577
PB2_2,PB2_47,7.18436873747495
PB2_3,PB2_4,12.1247631766298
PB2_3,PB2_5,12.5169577624233
PB2_3,PB2_6,17.3661098998392
PB2_3,PB2_7,12.6131164015617
PB2_3,PB2_8,13.6605692444863
PB2_3,PB2_9,27.1228445605245
PB2_3,PB2_10,15.2181190834897
PB2_3,PB2_11,11.767796979604
PB2_3,PB2_12,12.6963049933794
PB2_3,PB2_13,9.02598143980758
PB2_3,PB2_14,11.1744573367087
PB2_3,PB2_15,11.7398764463801
PB2_3,PB2_16,10.0951911946877
PB2_3,PB2_17,10.4949902819004
PB2_3,PB2_18,18.9422139187292
PB2_3,PB2_19,10.4879562287316
PB2_3,PB2_20,31.2527857476479
PB2_3,PB2_21,13.5896238278303
PB2_3,PB2_22,11.9724427837459
PB2_3,PB2_23,8.58520161918104
PB2_3,PB2_24,18.9472793087344
PB2_3,PB2_25,12.1014212317342
PB2_3,PB2_26,11.9583639153933
PB2_3,PB2_27,11.8782111163007
PB2_3,PB2_28,59.7312003736571
PB2_3,PB2_29,11.6616845710727
PB2_3,PB2_30,10.3323991904095
PB2_3,PB2_31,13.6336602833567
PB2_3,PB2_32,14.971975712284
PB2_3,PB2_33,9.33473454771916
PB2_3,PB2_34,14.9425502101822
PB2_3,PB2_35,10.2860812704344
PB2_3,PB2_36,12.288650163475
PB2_3,PB2_37,12.4955628211116
PB2_3,PB2_38,11.4918262494162
PB2_3,PB2_39,10.9061186361513
PB2_3,PB2_40,12.7524521251752
PB2_3,PB2_41,9.00186828584774
PB2_3,PB2_42,10.9626342830453
PB2_3,PB2_43,10.9584306398879
PB2_3,PB2_44,22.7687996263428
PB2_3,PB2_45,44.9346099953293
PB2_3,PB2_46,16.5361980382999
PB2_3,PB2_47,11.9560952825783
PB2_4,PB2_5,8.73846750761001
PB2_4,PB2_6,13.3981667387189
PB2_4,PB2_7,10.7512532197343
PB2_4,PB2_8,9.912641230906
PB2_4,PB2_9,23.6760699425409
PB2_4,PB2_10,11.4226753726232
PB2_4,PB2_11,7.94179611650588
PB2_4,PB2_12,8.88129509218826
PB2_4,PB2_13,5.21080219672436
