	location
EPI_ISL_1205487|H5N3|a/red_knot/germany-sh/ai03421/2020|2020-12-14|2020.951	Europe
EPI_ISL_13369782|H5N1|a/turkey/england/062369/2021|2021-11-27|2021.904	Europe
EPI_ISL_13990735|H5N1|a/turkey/spain/1097-7_22vir6312-36/2022|2022-03-16|2022.203	Europe
EPI_ISL_1009686|H5N8|a/chicken/korea/h550/2020|2020-12-31|2020.997	Asia
EPI_ISL_17414649|H5N1|a/chicken/nigeria/717_22vir3286-19/2021|2021-12-16|2021.956	Africa
EPI_ISL_18665511|H5N1|a/snow_goose/bc/aivphl-727/2022|2022-11-21|2022.888	North America
EPI_ISL_17805996|H5N1|a/chicken/peru/ais0549/2022|2022-12-22|2022.973	South America
EPI_ISL_415197|H5N8|a/chicken/germany-sn/ai00276/2020|2020-03-12|2020.194	Europe
EPI_ISL_18472702|H5N1|a/hooded_crane/kagoshima/ku-163/2022_(h5n1)|2022-12-01|2022.915	Asia
EPI_ISL_18647456|H5N1|a/chroicocephalus_ridibundus/belgium/06376_0013/2023|2023-06-30|2023.493	Europe
EPI_ISL_18612228|H5N1|a/black-headed_gull/slovenia/per1054-23t4a_23vir10323-16/2023|2023-05-31|2023.411	Europe
EPI_ISL_18647514|H5N1|a/rissa_tridactyla/belgium/07522_0001/2023|2023-08-07|2023.597	Europe
EPI_ISL_16297137|H5N1|a/chicken/south_dakota/22-033852-001-original/2022|2022-10-21|2022.803	North America
EPI_ISL_13114176|H5N1|a/broiler_chicken/bc/fav-0228-os/2022|2022-04-12|2022.277	North America
EPI_ISL_5057875|H5N8|a/eurasian_wigeon/germany-sh/ai02176/2020|2020-10-30|2020.828	Europe
EPI_ISL_15813940|H5N1|a/mixed_domestic_anatidae/belgium/12318_0001/2022|2022-10-24|2022.811	Europe
EPI_ISL_18311028|H5N1|a/harbor_seal/washington/23-026504-002-original/2023|2023-08-29|2023.658	North America
EPI_ISL_17964950|H5N1|a/barn_owl/idaho/23-013072-002-original/2023|2023-04-18|2023.293	North America
EPI_ISL_5863929|H5N8|a/garganey/georgia/dt-22572/2020|2020-10-12|2020.779	Asia
EPI_ISL_17971990|H5N1|a/domestic_cat/poland/h256-g/2023(h5n1)|2023-06-24|2023.477	Europe
EPI_ISL_17245099|H5N1|a/vulpes_vulpes/belgium/01784_0010/2023|2023-02-27|2023.156	Europe
EPI_ISL_14937002|H5N1|a/bald_eagle/georgia/w22-194b/2022|2022-03-14|2022.197	North America
EPI_ISL_16507107|H5N1|a/northern_gannet/spain/22vir12774-31_3453-1/2022|2022-09-25|2022.732	Europe
EPI_ISL_18591990|H5N1|a/crane/austria/23149044-010/2023|2023-11-14|2023.868	Europe
EPI_ISL_18373218|H5N1|a/mandarin_duck/korea/21wf91-6/2021|2021-11-16|2021.874	Asia
EPI_ISL_18059048|H5N1|a/sandwich_tern/netherlands/12/2023|2023-07-03|2023.501	Europe
EPI_ISL_18133465|H5N1|a/goose/new_hampshire/usda-006203-002/2022|2022-02-22|2022.142	North America
EPI_ISL_18455202|H5N1|a/northern_gannet/norway/2022-07-1146-1t/2022|2022-06-16|2022.455	Europe
EPI_ISL_9029965|H5N1|a/greylag_goose/england/054503/2021|2021-10-30|2021.827	Europe
EPI_ISL_17679786|H5N1|a/rural_turkey/italy/22vir10636-5/2022|2022-11-03|2022.838	Europe
EPI_ISL_17785726|H5N1|a/swan/austria/22004012-001/2022|2022-01-14|2022.036	Europe
EPI_ISL_17478645|H5N1|a/black_bear/qc/fav-0902/2022|2022-06-14|2022.449	North America
EPI_ISL_16271827|H5N1|a/rhea/arizona/22-037270-002-original/2022|2022-11-14|2022.868	North America
EPI_ISL_17885873|H5N1|a/chicken/nuble/241681-1/2023|2023-03-10|2023.186	South America
EPI_ISL_7778779|H5N8|a/common_eider/norway/fu458_21vir7634-4/2021|2021-07-01|2021.496	Europe
EPI_ISL_18698518|H5N1|a/chicken/argentina/1976-2/2023|2023-05-01|2023.329	South America
EPI_ISL_16297368|H5N1|a/chicken/wyoming/22-032216-001-original/2022|2022-10-10|2022.773	North America
EPI_ISL_11971475|H5N1|a/chicken/iowa/22-008373-001-original/2022|2022-03-19|2022.211	North America
EPI_ISL_18665547|H5N1|a/barn_owl/bc/aivphl-995/2023|2023-03-13|2023.195	North America
EPI_ISL_3098710|H5N8|a/common_eider/sweden/sva210617sz0354/fb002253/i-2021|2021-06-17|2021.458	Europe
EPI_ISL_2234811|H5N8|a/anser_anser/spain/102-8_21vir1230-4/2021|2021-01-07|2021.016	Europe
EPI_ISL_18033182|H5N1|a/domestic_duck/poland/h101-t2/2023|2023-02-03|2023.09	Europe
EPI_ISL_718112|H5N8|a/chicken/oita/27t/2020|2020-12-09|2020.937	Asia
